time,theta,Cd,forcex
2.172,0.246447224,-0.749919882,-0.374285013
2.176,0.249673499,-0.810259558,-0.404400545
2.18,0.252742075,-0.87413881,-0.43628268
2.184,0.255651014,-0.939691317,-0.468999936
2.188,0.258398478,-1.001927215,-0.500061873
2.192,0.260982732,-1.066018146,-0.532049656
2.196,0.263402143,-1.123474747,-0.560726246
2.2,0.265655185,-1.185718119,-0.591791913
2.204,0.267740432,-1.24454471,-0.621152265
2.208,0.269656569,-1.304144599,-0.65089857
2.212,0.271402386,-1.361237261,-0.679393517
2.216,0.272976778,-1.417154267,-0.707301695
2.22,0.274378753,-1.473833,-0.73559005
2.224,0.275607424,-1.529479993,-0.763363464
2.228,0.276662016,-1.582736598,-0.789943836
2.232,0.277541862,-1.638245214,-0.817648186
2.236,0.278246406,-1.690926399,-0.843941366
2.24,0.278775205,-1.742232629,-0.869548305
2.244,0.279127922,-1.791858912,-0.894316783
2.248,0.279304337,-1.840400944,-0.918544111
2.252,0.279304337,-1.888275383,-0.942438243
2.256,0.279127922,-1.934783088,-0.965650239
2.26,0.278775205,-1.980531134,-0.988483089
2.264,0.278246406,-2.024965261,-1.010660162
2.268,0.277541862,-2.066419078,-1.031349762
2.272,0.276662016,-2.106864387,-1.051536016
2.276,0.275607424,-2.145206443,-1.070672536
2.28,0.274378753,-2.183688323,-1.089878842
2.284,0.272976778,-2.220576586,-1.108289774
2.288,0.271402386,-2.255544451,-1.125742235
2.292,0.269656569,-2.289007907,-1.142443846
2.296,0.267740432,-2.319593616,-1.157709174
2.3,0.265655185,-2.346195678,-1.170986263
2.304,0.263402143,-2.371880964,-1.183805789
2.308,0.260982732,-2.392119981,-1.193907082
2.312,0.258398478,-2.410703583,-1.203182158
2.316,0.255651014,-2.431392342,-1.213507918
2.32,0.252742075,-2.448870251,-1.222231142
2.324,0.249673499,-2.454207045,-1.224894736
2.328,0.246447224,-2.463224689,-1.229395442
2.332,0.243065288,-2.468863544,-1.232209795
2.336,0.239529826,-2.470206812,-1.23288022
2.34,0.235843073,-2.467832712,-1.231695307
2.344,0.232007355,-2.464021858,-1.229793309
2.348,0.228025097,-2.448565777,-1.222079179
2.352,0.223898813,-2.435127829,-1.2153723
2.356,0.21963111,-2.420743802,-1.208193231
2.36,0.215224684,-2.401009192,-1.198343688
