theta,Cd,Cip
0.274989951,-0.721980328,0.6346046
0.27349507,-0.730189291,0.672038258
0.271940297,-0.73971357,0.711853001
0.270325937,-0.746910514,0.750979507
0.268652307,-0.754325325,0.790655877
0.266919739,-0.760973217,0.831504006
0.265128578,-0.766827519,0.872386231
0.263279181,-0.77362269,0.914831463
0.26137192,-0.778963611,0.957909826
0.259407179,-0.784934011,1.002471627
0.257385355,-0.789998332,1.04656631
0.25530686,-0.796026212,1.093314843
0.253172115,-0.800939709,1.139775957
0.250981557,-0.804839027,1.185380247
0.248735636,-0.806911128,1.231241443
0.246434812,-0.81143283,1.279321607
0.24407956,-0.813453052,1.327491484
0.241670367,-0.815559914,1.374849063
0.239207732,-0.817583244,1.42668354
0.236692166,-0.818298669,1.474317371
0.234124194,-0.820568981,1.525724468
0.231504351,-0.819246643,1.573559254
0.228833185,-0.818330692,1.62056486
0.226111256,-0.817286594,1.669882565
0.223339136,-0.815463308,1.721767862
0.220517409,-0.814461416,1.77209227
0.217646669,-0.810308741,1.817892775
0.214727523,-0.810268439,1.876786179
0.21176059,-0.807438061,1.926862359
0.208746498,-0.802736579,1.977414601
0.205685888,-0.797520733,2.029231285
0.202579411,-0.792852876,2.08280868
0.19942773,-0.787476944,2.124010812
0.196231517,-0.779752533,2.18057053
0.192991457,-0.772985492,2.227062774
0.189708244,-0.766779125,2.280003555
0.186382581,-0.758016165,2.327543897
0.183015184,-0.748620685,2.375119323
0.179606778,-0.740639848,2.425826913
0.176158097,-0.732052251,2.476000642
0.172669884,-0.720289169,2.50793957
0.169142896,-0.710122393,2.557444343
0.165577894,-0.697246473,2.602466199
0.161975652,-0.687294994,2.642252065
0.158336951,-0.675662061,2.687447731
0.154662582,-0.660851307,2.739191134
0.150953345,-0.649931441,2.78069602
0.147210048,-0.636791266,2.79802793
0.143433508,-0.620258232,2.843504035
0.139624549,-0.606061642,2.892645433
0.135784005,-0.59033693,2.922759936
0.131912717,-0.574623186,2.963552291
0.128011534,-0.559934211,2.981867644
0.124081311,-0.541800601,3.018592059
0.120122913,-0.526304621,3.040492365
0.116137211,-0.507228471,3.086098542
0.112125082,-0.492897967,3.101278022
0.108087412,-0.472869707,3.138347648
0.104025092,-0.452686129,3.174365245
0.09993902,-0.43659903,3.186681029
0.0958301,-0.417642724,3.206666718
0.091699242,-0.399788954,3.2322839
0.087547363,-0.381766608,3.23004712
0.083375385,-0.360532226,3.276107326
0.079184234,-0.345692706,3.267312688
0.074974843,-0.321296218,3.287529843
0.07074815,-0.302699388,3.300415645
0.066505098,-0.283993265,3.309976343
0.062246633,-0.258567511,3.33422368
0.057973707,-0.245501699,3.314206148
0.053687275,-0.224372792,3.3247857
0.049388298,-0.203423125,3.325263575
0.045077739,-0.181402876,3.328544699
0.040756566,-0.159254329,3.337444515
0.036425748,-0.144991567,3.315658949
0.03208626,-0.120010143,3.320955093
0.027739078,-0.100120523,3.318704757
0.023385181,-0.083358857,3.289712267
0.019025552,-0.05945316,3.302303649
0.014661175,-0.044308631,3.283229344
0.010293035,-0.024390829,3.266158264
