time,forcex,moment,Cd,theta,omega,Cip,real_moment
0.88,-0.284792569,-0.093548183,-0.57061224,-0.250940418,-0.375070316,-0.430592613,-0.057298262
0.884,-0.299320148,-0.098961369,-0.599719792,-0.252389877,-0.349634984,-0.424618683,-0.060613839
0.888,-0.313335511,-0.104246122,-0.627801063,-0.253737309,-0.324058314,-0.414573557,-0.06385075
0.892,-0.326026029,-0.109437839,-0.653227868,-0.254982169,-0.298350644,-0.400694159,-0.067030676
0.896,-0.339135419,-0.11470446,-0.679493927,-0.256123953,-0.272522368,-0.383619773,-0.070256482
0.9,-0.352437992,-0.119901071,-0.70614705,-0.257162201,-0.246583926,-0.362832639,-0.073439406
0.904,-0.364965406,-0.12505894,-0.731247056,-0.258096492,-0.220545804,-0.338479263,-0.076598601
0.908,-0.37751986,-0.130204248,-0.756401243,-0.258926448,-0.194418527,-0.31065713,-0.079750102
0.912,-0.390014684,-0.135353009,-0.781435952,-0.259651735,-0.168212657,-0.279412036,-0.082903718
0.916,-0.401927494,-0.140335714,-0.805304537,-0.260272059,-0.141938788,-0.244448753,-0.085955625
0.92,-0.414555404,-0.145664366,-0.830605899,-0.260787169,-0.115607541,-0.206660754,-0.089219424
0.924,-0.42616503,-0.150774953,-0.853867021,-0.261196857,-0.08922956,-0.165103574,-0.092349658
0.928,-0.438138464,-0.155936535,-0.87785707,-0.261500957,-0.062815508,-0.120207975,-0.095511128
0.932,-0.449812323,-0.161074193,-0.901246891,-0.261699347,-0.036376064,-0.071905182,-0.098657943
0.936,-0.461509126,-0.166280345,-0.924682681,-0.261791946,-0.009921915,-0.020246731,-0.101846712
0.94,-0.472986044,-0.171471124,-0.947677909,-0.261778717,0.016536246,0.034797371,-0.105026063
0.944,-0.48419097,-0.176653004,-0.970128171,-0.261659665,0.042987721,0.093193146,-0.108199965
0.948,-0.495229806,-0.181837347,-0.992245654,-0.261434839,0.069421819,0.154916473,-0.111375375
0.952,-0.506108093,-0.187029733,-1.01404146,-0.261104328,0.095827854,0.219948466,-0.114555711
0.956,-0.516460596,-0.192198962,-1.034783803,-0.260668267,0.12219515,0.288219612,-0.117721864
0.96,-0.526761082,-0.197445206,-1.055421923,-0.260126833,0.14851305,0.359856817,-0.120935189
0.964,-0.536977568,-0.202685414,-1.07589174,-0.259480243,0.174770914,0.434720556,-0.124144816
0.968,-0.546077871,-0.207749895,-1.094125167,-0.25872876,0.200958127,0.512347841,-0.127246811
0.972,-0.555598049,-0.212970088,-1.113199858,-0.257872686,0.227064105,0.593452028,-0.130444179
0.976,-0.56459026,-0.218174213,-1.131216709,-0.256912369,0.253078292,0.677605364,-0.133631705
0.98,-0.573750799,-0.223596476,-1.149570825,-0.255848196,0.278990174,0.765547929,-0.136952842
