time,theta,omega,real_moment,Cd,Cip
1.048,-0.180089675,-0.03869012,-0.054556164,-0.322047642,-0.042291816
1.052,-0.18021495,-0.023944341,-0.055929997,-0.329785274,-0.026832436
1.056,-0.180281204,-0.009179978,-0.057303789,-0.337359375,-0.010539922
1.06,-0.180288372,0.005598132,-0.058668912,-0.344773401,0.006580572
1.064,-0.180236408,0.020385143,-0.060022243,-0.351897211,0.024515368
1.068,-0.180125285,0.0351762,-0.061371558,-0.358904953,0.043254221
1.072,-0.179954999,0.04996644,-0.062687577,-0.36560127,0.062758466
1.076,-0.179725561,0.064750996,-0.064004586,-0.372039106,0.08303668
1.08,-0.179437005,0.079524999,-0.065362599,-0.378480438,0.104146677
1.084,-0.179089382,0.094283575,-0.066716377,-0.384430508,0.126032028
1.088,-0.178682764,0.109021851,-0.068034593,-0.390617882,0.148612649
1.092,-0.178217241,0.123734956,-0.069369095,-0.396421413,0.171977196
1.096,-0.177692924,0.138418019,-0.070731105,-0.40224647,0.196162281
1.1,-0.177109943,0.153066177,-0.072006427,-0.40724052,0.220832467
1.104,-0.176468448,0.16767457,-0.073329492,-0.411942617,0.246353255
1.108,-0.175768606,0.182238348,-0.074613401,-0.416475039,0.272438848
1.112,-0.175010607,0.196752668,-0.075923011,-0.421022213,0.299299841
1.116,-0.174194657,0.2112127,-0.077234287,-0.425294119,0.326845569
1.12,-0.173320984,0.225613626,-0.078539355,-0.429445657,0.355030025
1.124,-0.172389833,0.239950641,-0.079841317,-0.432154149,0.383850434
1.128,-0.17140147,0.254218956,-0.0810144,-0.435883826,0.412650696
1.132,-0.17035618,0.268413801,-0.082250247,-0.438633861,0.442338238
1.136,-0.169254264,0.282530423,-0.083460311,-0.441347671,0.472451954
1.14,-0.168096047,0.296564089,-0.084665185,-0.442657465,0.503078609
1.144,-0.166881869,0.310510091,-0.085801197,-0.444573209,0.533803599
1.148,-0.165612089,0.324363743,-0.086991033,-0.44553118,0.565352376
1.152,-0.164287088,0.338120383,-0.088136313,-0.447095749,0.597088434
1.156,-0.162907262,0.351775378,-0.089282316,-0.448248414,0.629279111
1.16,-0.161473027,0.365324122,-0.090445025,-0.449524111,0.662026632
1.164,-0.159984817,0.37876204,-0.091601941,-0.449114788,0.695158049
1.168,-0.158443084,0.392084589,-0.092785642,-0.449232701,0.728908443
1.172,-0.1568483,0.405287258,-0.093896804,-0.44926023,0.762476023
1.176,-0.155200952,0.418365569,-0.095029466,-0.448539693,0.796574969
1.18,-0.153501547,0.431315085,-0.096054863,-0.447279614,0.830092394
1.184,-0.151750609,0.444131403,-0.09720862,-0.445839577,0.865025057
1.188,-0.149948679,0.456810159,-0.098121167,-0.443958863,0.898071445
1.192,-0.148096317,0.469347031,-0.099092588,-0.441651259,0.931853572
1.196,-0.146194098,0.481737741,-0.099998954,-0.438386472,0.965202772
1.2,-0.144242615,0.49397805,-0.100930334,-0.435878799,0.998945497
1.204,-0.142242479,0.506063769,-0.10189248,-0.433020902,1.033141505
1.208,-0.140194317,0.517990753,-0.102733907,-0.428868636,1.066223477
1.212,-0.13809877,0.529754906,-0.103709949,-0.424765734,1.100798527
1.216,-0.1359565,0.541352179,-0.10451698,-0.420189094,1.133650473
1.22,-0.133768181,0.552778579,-0.105151667,-0.415175529,1.164608077
1.224,-0.131534504,0.564030159,-0.105996975,-0.409742656,1.197865973
1.228,-0.129256178,0.575103032,-0.107015352,-0.405408095,1.233116675
1.232,-0.126933924,0.585993361,-0.107536893,-0.398740534,1.262590771
1.236,-0.124568479,0.596697367,-0.108065407,-0.393438633,1.29197243
1.24,-0.122160598,0.607211331,-0.108873269,-0.386152049,1.324565867
1.244,-0.119711047,0.617531589,-0.109493461,-0.379087736,1.354751972
1.248,-0.117220608,0.62765454,-0.110055215,-0.372268939,1.384024353
1.252,-0.114690079,0.637576645,-0.110484792,-0.363734447,1.411390963
1.256,-0.112120268,0.647294426,-0.110987086,-0.357663319,1.439417394
1.26,-0.109512,0.656804469,-0.111645456,-0.349098045,1.469229304
1.264,-0.106866113,0.666103428,-0.111957143,-0.340309821,1.494190271
1.268,-0.104183459,0.675188021,-0.112618018,-0.33149,1.523509057
1.272,-0.101464899,0.684055035,-0.112636808,-0.322812001,1.543774302
1.276,-0.098711313,0.692701325,-0.113461392,-0.311826865,1.574731641
1.28,-0.095923587,0.701123816,-0.113368748,-0.302288465,1.592577224
1.284,-0.093102624,0.709319504,-0.113229896,-0.294587666,1.609220069
1.288,-0.090249337,0.71728546,-0.11382517,-0.282782398,1.635847306
1.292,-0.087364651,0.725018824,-0.113989804,-0.271886744,1.655875647
1.296,-0.084449501,0.732516813,-0.114754505,-0.260812324,1.684223684
1.3,-0.081504834,0.739776719,-0.114601195,-0.250165361,1.698643483
1.304,-0.078531608,0.74679591,-0.11432046,-0.242199878,1.710560054
1.308,-0.075530791,0.753571831,-0.114477059,-0.2298982,1.728444941
1.312,-0.072503361,0.760102007,-0.114491855,-0.216983676,1.743648342
1.316,-0.069450306,0.766384039,-0.114026907,-0.206953081,1.750919689
1.32,-0.066372623,0.772415612,-0.113913877,-0.195032686,1.762950449
1.324,-0.063271318,0.77819449,-0.113217871,-0.186875995,1.765287993
1.328,-0.060147406,0.783718517,-0.112956853,-0.172959909,1.773720243
1.332,-0.057001912,0.788985625,-0.113147341,-0.160129903,1.788652089
1.336,-0.053835867,0.793993823,-0.112121511,-0.152290262,1.783686378
1.34,-0.050650309,0.79874121,-0.111980516,-0.139677281,1.792094826
1.344,-0.047446287,0.803225967,-0.111874155,-0.123511789,1.80044533
1.348,-0.044224854,0.80744636,-0.110638009,-0.117551344,1.78990698
1.352,-0.040987071,0.811400743,-0.109864878,-0.105317541,1.78610386
1.356,-0.037734005,0.815087558,-0.11022777,-0.089680618,1.800145945
1.36,-0.034466729,0.818505333,-0.10891965,-0.082699469,1.786241523
1.364,-0.031186323,0.821652684,-0.107820438,-0.070961214,1.77501407
1.368,-0.02789387,0.824528318,-0.107773501,-0.055084241,1.78045088
1.372,-0.02459046,0.827131029,-0.106920178,-0.04431304,1.771929407
1.376,-0.021277187,0.829459703,-0.105625496,-0.036745535,1.755401577
1.38,-0.017955149,0.831513316,-0.104954957,-0.023996252,1.748576318
1.384,-0.014625449,0.833290933,-0.10433809,-0.01068761,1.742015321
1.388,-0.011289191,0.834791714,-0.103413219,-0.000502816,1.729683404
1.392,-0.007947485,0.836014906,-0.102064929,0.007261749,1.70963338
1.396,-0.004601443,0.836959854,-0.101144299,0.018586931,1.696127378
1.4,-0.001252178,0.83762599,-0.100014848,0.029391524,1.678522058
1.404,0.002099193,0.838012841,-0.098918226,0.039841918,1.660884472
1.408,0.005451552,0.838120029,-0.097619076,0.048014564,1.639280755
1.412,0.00880378,0.837947266,-0.096061839,0.054732731,1.612798137
1.416,0.012154756,0.837494359,-0.095183763,0.066003156,1.597192239
1.42,0.015503361,0.836761209,-0.093967633,0.076364843,1.575405141
1.424,0.018848472,0.83574781,-0.092449985,0.081461455,1.548084007
1.428,0.02218897,0.834454251,-0.09124629,0.091750086,1.525563111
1.432,0.025523733,0.832880715,-0.089707487,0.098878244,1.497007327
1.436,0.028851643,0.831027477,-0.087891478,0.10287283,1.463438847
1.44,0.032171581,0.82889491,-0.086820415,0.114146715,1.441895417
1.444,0.03548243,0.826483477,-0.085199148,0.118589598,1.410853301
1.448,0.038783077,0.823793738,-0.083221508,0.122119981,1.373619655
1.452,0.04207241,0.820826346,-0.081764723,0.129589092,1.344713254
1.456,0.045349319,0.817582048,-0.080206265,0.134496531,1.313869005
1.46,0.048612698,0.814061686,-0.07831782,0.137067474,1.277410065
1.464,0.051861445,0.810266193,-0.076566254,0.14123987,1.24301837
1.468,0.055094462,0.806196597,-0.074820496,0.147077033,1.20857602
1.472,0.058310654,0.801854021,-0.07303381,0.148096363,1.173361132
1.476,0.061508932,0.797239677,-0.070857666,0.149043895,1.131848187
1.48,0.064688211,0.792354874,-0.069218223,0.154314654,1.098885926
1.484,0.067847412,0.78720101,-0.067068856,0.151087789,1.057837533
1.488,0.070985462,0.781779577,-0.065022332,0.151879187,1.018495918
1.492,0.074101294,0.776092158,-0.063535466,0.159186683,0.987965878
1.496,0.077193847,0.770140426,-0.061404374,0.155804422,0.94750533
1.5,0.080262068,0.763926147,-0.058830999,0.150542733,0.900471614
1.504,0.083304909,0.757451175,-0.057304284,0.155890085,0.869669346
1.508,0.086321332,0.750717456,-0.055298773,0.154590343,0.831772277
1.512,0.089310306,0.743727024,-0.052862262,0.148412241,0.787719757
1.516,0.092270809,0.736482002,-0.050876669,0.14765258,0.750746367
1.52,0.095201826,0.7289846,-0.048887785,0.147901509,0.714054143
1.524,0.098102352,0.721237117,-0.04684666,0.145278545,0.676969542
1.528,0.100971392,0.713241938,-0.044279652,0.134544866,0.632781096
