time,theta,Cd,Cip
1.808,-0.099007109,-0.121113738,0.446813908
1.812,-0.09719313,-0.11783765,0.452176489
1.816,-0.095363804,-0.11516215,0.457253794
1.82,-0.093519418,-0.112344516,0.463544581
1.824,-0.091660264,-0.109713397,0.468749436
1.828,-0.089786637,-0.107060971,0.474921501
1.832,-0.087898831,-0.104877063,0.47645804
1.836,-0.085997144,-0.100007955,0.485136853
1.84,-0.084081878,-0.097750407,0.488217954
1.844,-0.082153334,-0.09470908,0.492043561
1.848,-0.080211817,-0.092383933,0.497320699
1.852,-0.078257634,-0.08816056,0.502480201
1.856,-0.076291093,-0.085554093,0.503903824
1.86,-0.074312505,-0.08109894,0.508350163
1.864,-0.072322182,-0.078136723,0.511744028
1.868,-0.070320439,-0.074371129,0.517349829
1.872,-0.068307591,-0.071257784,0.519208221
1.876,-0.066283956,-0.06742533,0.522794469
1.88,-0.064249855,-0.06611552,0.523264101
1.884,-0.062205608,-0.059586782,0.528844377
1.888,-0.060151538,-0.057124186,0.53060694
1.892,-0.058087969,-0.053566667,0.533257237
1.896,-0.056015227,-0.049715637,0.535010342
1.9,-0.05393364,-0.046841631,0.53590459
1.904,-0.051843536,-0.041479315,0.540609378
1.908,-0.049745246,-0.040497166,0.537852029
1.912,-0.0476391,-0.03588433,0.541273905
1.916,-0.045525431,-0.031724432,0.542603363
1.92,-0.043404573,-0.027789794,0.543586443
1.924,-0.041276862,-0.022252558,0.54764779
1.928,-0.039142632,-0.021452781,0.54574422
1.932,-0.037002221,-0.017820675,0.544511322
1.936,-0.034855967,-0.013250996,0.546062449
1.94,-0.032704209,-0.008654553,0.547429597
1.944,-0.030547286,-0.004955977,0.546996002
1.948,-0.02838554,-0.001915524,0.544868125
1.952,-0.026219312,0.001132528,0.543903326
1.956,-0.024048942,0.005659433,0.544879444
1.96,-0.021874776,0.010545691,0.544662317
1.964,-0.019697155,0.013088448,0.54182167
1.968,-0.017516424,0.016987026,0.542244837
1.972,-0.015332926,0.019236001,0.539076039
1.976,-0.013147008,0.023601662,0.538559968
1.98,-0.010959013,0.028983152,0.538802413
1.984,-0.008769288,0.032590544,0.53613887
1.988,-0.006578178,0.033105074,0.531106678
1.992,-0.004386029,0.036690959,0.528241374
1.996,-0.002193188,0.04221633,0.527469168
2,-6.03E-14,0.04505694,0.523322979
2.004,0.003289782,0.07,0.856840492
2.008,0.006579044,0.09066886,1.101817429
2.012,0.009867267,0.098402989,1.183206615
2.016,0.013153932,0.100640658,1.191306137
2.02,0.01643852,0.101765095,1.192760401
2.024,0.019720512,0.109635917,1.209178848
2.028,0.022999389,0.114419648,1.216898769
2.032,0.026274636,0.115629256,1.219510048
2.036,0.029545732,0.124033577,1.226379931
2.04,0.032812164,0.131545133,1.235318991
2.044,0.036073414,0.133623481,1.234235633
2.048,0.039328967,0.140381108,1.235162664
2.052,0.04257831,0.147713967,1.236766256
2.056,0.04582093,0.153054112,1.234130055
2.06,0.049056313,0.157156033,1.227094374
2.064,0.052283951,0.16543414,1.225251302
2.068,0.055503332,0.168622984,1.210523634
2.072,0.058713948,0.177567995,1.206965612
2.076,0.061915293,0.181945271,1.193215216
2.08,0.06510686,0.186652457,1.178470855
2.084,0.068288147,0.194776872,1.171044661
2.088,0.07145865,0.196463971,1.151258015
2.092,0.074617868,0.20282945,1.137256422
2.096,0.077765304,0.207110746,1.119659186
2.1,0.08090046,0.211684201,1.104566962
2.104,0.084022841,0.214566767,1.083741019
2.108,0.087131953,0.219123324,1.066939441
2.112,0.090227306,0.224223287,1.051554085
2.116,0.093308412,0.225007284,1.027366371
2.12,0.096374783,0.229663188,1.009791608
2.124,0.099425935,0.232698743,0.992410707
2.128,0.102461386,0.234348374,0.974021311
2.132,0.105480658,0.238621209,0.956536564
2.136,0.108483273,0.240226857,0.937007922
2.14,0.111468758,0.237477966,0.909446891
2.144,0.11443664,0.243491206,0.896130086
2.148,0.117386451,0.247709242,0.879923447
2.152,0.120317726,0.243001031,0.853612712
2.156,0.123230001,0.248796879,0.83825838
2.16,0.126122817,0.249000767,0.818507057
2.164,0.128995716,0.252040009,0.800600251
2.168,0.131848246,0.241704927,0.769403214
2.172,0.134679955,0.250383024,0.75774638
2.176,0.137490397,0.248480846,0.736753338
2.18,0.140279127,0.245545611,0.714236569
2.184,0.143045705,0.243165968,0.69001005
2.188,0.145789695,0.242110982,0.670623907
2.192,0.148510664,0.243352817,0.653298665
2.196,0.15120818,0.237474545,0.631224884
2.2,0.153881819,0.231722459,0.608566033
2.204,0.156531159,0.234344263,0.591289255
2.208,0.15915578,0.232570661,0.572220926
2.212,0.161755268,0.229312128,0.552819594
2.216,0.164329214,0.221537717,0.529737445
2.22,0.16687721,0.224570867,0.514334799
2.224,0.169398855,0.220449416,0.49543633
2.228,0.171893749,0.213162705,0.47371494
2.232,0.174361499,0.211763351,0.455774351
2.236,0.176801716,0.207659588,0.43620269
2.24,0.179214013,0.200785616,0.416569518
2.244,0.181598011,0.195929036,0.398609921
2.248,0.183953332,0.192853454,0.381674503
2.252,0.186279605,0.191385547,0.366259191
2.256,0.188576462,0.184172289,0.347370556
2.26,0.19084354,0.180252189,0.329606224
2.264,0.193080483,0.174012432,0.312268661
2.268,0.195286935,0.170756524,0.296501076
2.272,0.19746255,0.162918672,0.279533559
2.276,0.199606983,0.155149005,0.262482344
2.28,0.201719895,0.152419623,0.24875709
2.284,0.203800954,0.14443727,0.232253551
2.288,0.20584983,0.141059903,0.217945377
2.292,0.2078662,0.132734474,0.202112357
2.296,0.209849746,0.12322666,0.186613773
2.3,0.211800154,0.118398885,0.173403426
2.304,0.213717116,0.111301538,0.16030855
2.308,0.21560033,0.104851713,0.14707516
2.312,0.217449498,0.098362868,0.134018389
2.316,0.219264328,0.090683256,0.121664934
2.32,0.221044534,0.079482286,0.108301051
2.324,0.222789834,0.075936774,0.097701749
2.328,0.224499954,0.067659275,0.086566818
2.332,0.226174622,0.059636306,0.07534675
2.336,0.227813574,0.051794409,0.064759508
2.34,0.229416552,0.044428411,0.055136164
2.344,0.230983303,0.035576234,0.045372888
2.348,0.232513579,0.02867281,0.036579442
2.352,0.234007138,0.020696132,0.028186836
2.356,0.235463744,0.013590133,0.019809351
2.36,0.236883168,0.00520502,0.011870702
2.364,0.238265186,-0.002318496,0.004464049
2.368,0.239609579,-0.011475206,-0.002353647
2.372,0.240916134,-0.01982655,-0.009122919
2.376,0.242184646,-0.029829715,-0.015109183
2.38,0.243414915,-0.034310839,-0.020349623
2.384,0.244606745,-0.04276425,-0.025592333
2.388,0.245759949,-0.051232147,-0.030409224
2.392,0.246874345,-0.060103931,-0.035063693
2.396,0.247949756,-0.067487277,-0.038700858
2.4,0.248986014,-0.076044208,-0.042290092
2.404,0.249982953,-0.084754771,-0.045521467
2.408,0.250940418,-0.092157411,-0.04796923
2.412,0.251858255,-0.100214751,-0.050054268
2.416,0.252736322,-0.107960156,-0.051960455
2.42,0.253574479,-0.113852041,-0.053174783
2.424,0.254372593,-0.122549842,-0.054155942
2.428,0.255130539,-0.13009448,-0.054543529
